Título,Descripción,Categoría,Latitud,Longitud,Fecha del hecho
"Festival gastronómico reúne a chefs en Buenos Aires","Un festival gastronómico internacional reunió a reconocidos chefs en la Ciudad de Buenos Aires, ofreciendo platos regionales y cocina de autor.","Gastronomía",-34.603722,-58.381592,12/10/2019
"Feria del asado convoca a miles de visitantes en Córdoba","La tradicional feria del asado se realizó en Córdoba con la participación de parrilleros de todo el país y miles de asistentes.","Cocina regional",-31.420657,-64.188777,18/08/2018
"Rosario celebra la semana de la comida italiana","La ciudad de Rosario celebró la semana de la comida italiana con degustaciones, clases abiertas y actividades culturales.","Cocina italiana",-32.947447,-60.639318,05/06/2020
"Nuevo récord en la elaboración de empanadas en Salta","Cocineros salteños lograron un récord regional elaborando miles de empanadas en una jornada solidaria.","Cocina regional",-24.785312,-65.411153,21/07/2017
"Mar del Plata presenta festival de cocina de mar","Un festival dedicado a la cocina de mar se realizó en Mar del Plata, destacando pescados y mariscos locales.","Cocina de mar",-38.005477,-57.542611,14/02/2019
"Mendoza inaugura ruta gastronómica del vino","La provincia de Mendoza inauguró una ruta gastronómica que combina vinos locales con platos regionales.","Enogastronomía",-32.889458,-68.845839,30/09/2016
"Tucumán celebra jornada dedicada al sándwich de milanesa","Una jornada gastronómica celebró al tradicional sándwich de milanesa con concursos y degustaciones.","Cocina popular",-26.824565,-65.222085,11/11/2018
"Jujuy impulsa feria de productos andinos","Productores locales participaron en una feria de productos andinos, promoviendo ingredientes tradicionales de la región.","Cocina andina",-24.185786,-65.299477,03/05/2015
"Buenos Aires reconoce a restaurantes sustentables","La ciudad de Buenos Aires reconoció a restaurantes que aplican prácticas de cocina sustentable y responsable.","Cocina sustentable",-34.603722,-58.381592,19/04/2021
"San Juan organiza concurso provincial de dulces artesanales","Un concurso provincial destacó la elaboración de dulces artesanales tradicionales de San Juan.","Repostería",-31.531726,-68.479988,27/08/2014
"Bariloche presenta festival del chocolate artesanal","La ciudad de Bariloche celebró su tradicional festival del chocolate artesanal con actividades para toda la familia.","Repostería",-41.133472,-71.310278,02/04/2019
"Chaco promueve cocina regional en encuentro cultural","Un encuentro cultural en Chaco promovió la cocina regional con platos típicos y productos locales.","Cocina regional",-27.451388,-58.986667,16/10/2017
"La Rioja destaca producción de aceite de oliva local","Productores riojanos presentaron su aceite de oliva en una feria gastronómica regional.","Cocina mediterránea",-29.413261,-66.855477,08/09/2016
"Santa Fe realiza encuentro de cocina saludable","Un encuentro de cocina saludable reunió a nutricionistas y cocineros para promover hábitos alimenticios sanos.","Cocina saludable",-31.633331,-60.700001,23/03/2020
"Neuquén celebra feria de productos patagónicos","La provincia de Neuquén celebró una feria dedicada a productos patagónicos y cocina regional.","Cocina patagónica",-38.951611,-68.059097,14/11/2018
"Salta organiza clases abiertas de cocina regional","Clases abiertas de cocina regional se realizaron en Salta para promover recetas tradicionales.","Cocina regional",-24.785312,-65.411153,09/06/2015
"Misiones impulsa festival de cocina con yerba mate","Un festival gastronómico en Misiones destacó platos y bebidas elaborados con yerba mate.","Cocina regional",-27.362137,-55.900875,20/07/2019
"Buenos Aires celebra semana de la pastelería","La semana de la pastelería se celebró en Buenos Aires con talleres y degustaciones de postres clásicos.","Pastelería",-34.603722,-58.381592,17/08/2021
"Córdoba organiza encuentro de food trucks","Un encuentro de food trucks reunió propuestas gastronómicas innovadoras en la ciudad de Córdoba.","Cocina urbana",-31.420657,-64.188777,28/02/2022
"Río Negro impulsa cocina con frutos del valle","Productores y chefs promovieron la cocina con frutos del valle en un evento gastronómico regional.","Cocina regional",-39.033333,-67.583333,06/10/2016
