Título,Descripción,Categoría,Latitud,Longitud,Fecha del hecho
"Ráfagas de más de 100 km/h causa estragos en San Vicente, Misiones",La región de San Vicente en Misiones sufrió los efectos de una intensa ráfagas de más de 100 km/h. El incidente obligando a evacuar a residentes de la zona. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.,Ráfagas de más de 100 km/h,-27.029465,-54.436559,21/12/2007
"Situación crítica por Precipitación de granizo en Chilecito, La Rioja",La región de Chilecito en La Rioja sufrió los efectos de una intensa precipitación de granizo. El incidente con un saldo inicial de varias personas heridas. Especialistas evalúan los daños para iniciar las reparaciones necesarias.,Precipitación de granizo,-29.19831,-67.533537,10/10/2020
"Situación crítica por Lluvia de hielo en Mendoza, Mendoza","Una lluvia de hielo de gran magnitud afectó a Mendoza, Mendoza. El incidente provocando cortes de energía y problemas en el suministro de agua. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Lluvia de hielo,-32.895182,-68.84302,15/11/2000
"Equipos de emergencia atienden Inundación repentina en Godoy Cruz, Mendoza",La región de Godoy Cruz en Mendoza sufrió los efectos de una intensa inundación repentina. El incidente destruyendo viviendas y dejando a familias evacuadas. Especialistas evalúan los daños para iniciar las reparaciones necesarias.,Inundación repentina,-32.934672,-68.880074,26/09/2012
Habitantes de San Carlos de Bariloche afrontan Derrumbe de cerro,La región de San Carlos de Bariloche en Río Negro sufrió los efectos de una intensa derrumbe de cerro. El incidente generando caos en el transporte público y privado. Se han habilitado refugios temporales para las familias afectadas.,Derrumbe de cerro,-41.161771,-71.334277,08/04/2019
"Equipos de emergencia atienden Lluvia torrencial en Chimbas, San Juan","Una lluvia torrencial de gran magnitud afectó a Chimbas, San Juan. El incidente bloqueando las principales vías de acceso. Los servicios médicos están atendiendo a los afectados en hospitales locales.",Lluvia torrencial,-31.480401,-68.48767,28/12/2004
Equipos de emergencia atienden Calor extremo en Palpalá,"Una calor extremo de gran magnitud afectó a Palpalá, Jujuy. El incidente dejando un rastro de destrucción importante. El Ministerio de Desarrollo Social está brindando apoyo a los damnificados.",Calor extremo,-24.231944,-65.20929,09/11/2006
Equipos de emergencia atienden Nevazón en Concepción,La región de Concepción en Tucumán sufrió los efectos de una intensa nevazón. El incidente provocando la activación de protocolos de emergencia. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.,Nevazón,-27.36334,-65.55839,28/06/2009
Anegamiento masivo deja múltiples daños en Perico,La región de Perico en Jujuy sufrió los efectos de una intensa anegamiento masivo. El incidente obligando a evacuar a residentes de la zona. Bomberos y personal de seguridad trabajan intensamente en la zona.,Anegamiento masivo,-24.351881,-65.112406,16/02/2008
"25 de Mayo en alerta por Inundación por lluvias intensas, Buenos Aires","Severa inundación por lluvias intensas impactó en la localidad de 25 de Mayo, Buenos Aires. El incidente bloqueando las principales vías de acceso. El gobierno provincial ha enviado ayuda humanitaria a los damnificados.",Inundación por lluvias intensas,-35.397014,-60.174991,08/06/2013
"Emergencia por Anegamiento masivo en General Roca, Río Negro",La región de General Roca en Río Negro sufrió los efectos de una intensa anegamiento masivo. El incidente dejando a varios sectores sin comunicación. Especialistas evalúan los daños para iniciar las reparaciones necesarias.,Anegamiento masivo,-39.077095,-67.628701,07/04/2013
"Situación crítica por Lluvia torrencial en Realicó, La Pampa","Severa lluvia torrencial impactó en la localidad de Realicó, La Pampa. El incidente generando serios daños ambientales en la región. Defensa Civil coordina las tareas de asistencia y reconstrucción.",Lluvia torrencial,-35.081124,-64.22791,03/06/2000
Emergencia por Granizo de gran tamaño en Guaymallén,La región de Guaymallén en Mendoza sufrió los efectos de una intensa granizo de gran tamaño. El incidente dejando a varios sectores sin comunicación. Se ha iniciado una investigación para determinar las causas exactas del incidente.,Granizo de gran tamaño,-32.915019,-68.75387,12/05/2016
"Devastador Vientos huracanados afecta a San Salvador de Jujuy, Jujuy","Una vientos huracanados de gran magnitud afectó a San Salvador de Jujuy, Jujuy. El incidente provocando pánico entre los residentes locales. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Vientos huracanados,-24.19794,-65.266033,04/07/2012
Confirman Vientos huracanados de gran magnitud en Villa Krause,"Una vientos huracanados de gran magnitud afectó a Villa Krause, San Juan. El incidente resultando en el cierre temporal de escuelas y comercios. Las fuerzas de seguridad mantienen un perímetro para evitar incidentes adicionales.",Vientos huracanados,-31.581255,-68.570841,23/08/2009
"Devastador Crisis hídrica afecta a Merlo, San Luis",La región de Merlo en San Luis sufrió los efectos de una intensa crisis hídrica. El incidente con un saldo inicial de varias personas heridas. Los servicios médicos están atendiendo a los afectados en hospitales locales.,Crisis hídrica,-32.329726,-65.037938,11/06/2013
Declaran emergencia tras Quema descontrolada en Tinogasta,"Severa quema descontrolada impactó en la localidad de Tinogasta, Catamarca. El incidente causando daños en cultivos y producción agrícola. Se han habilitado refugios temporales para las familias afectadas.",Quema descontrolada,-28.095462,-67.538741,23/06/2001
Evacuaciones por Tornado en Resistencia,La región de Resistencia en Chaco sufrió los efectos de una intensa tornado. El incidente causando pérdidas millonarias y afectando a cientos de personas. Se han habilitado refugios temporales para las familias afectadas.,Tornado,-27.40591,-58.972478,15/03/2006
"Evacuaciones por Fenómeno meteorológico con granizo en Salta, Salta","Severa fenómeno meteorológico con granizo impactó en la localidad de Salta, Salta. El incidente dejando a varios sectores sin comunicación. Las autoridades locales han desplegado equipos de emergencia para atender a los afectados.",Fenómeno meteorológico con granizo,-24.77728,-65.402076,03/03/2024
"Lules afectado por Vientos con fuerza ciclónica, Tucumán","Una vientos con fuerza ciclónica de gran magnitud afectó a Lules, Tucumán. El incidente causando pérdidas millonarias y afectando a cientos de personas. Bomberos y personal de seguridad trabajan intensamente en la zona.",Vientos con fuerza ciclónica,-26.934588,-65.274926,18/04/2011
Declaran emergencia tras Escasez de agua en Santa María,"Severa escasez de agua impactó en la localidad de Santa María, Catamarca. El incidente dejando a varios sectores sin comunicación. Especialistas evalúan los daños para iniciar las reparaciones necesarias.",Escasez de agua,-26.726757,-66.057608,14/06/2000
"Impacto de Caída de ceniza en comunidad de Tartagal, Salta","Severa caída de ceniza impactó en la localidad de Tartagal, Salta. El incidente dejando varios heridos y daños materiales. Bomberos y personal de seguridad trabajan intensamente en la zona.",Caída de ceniza,-22.513733,-63.828398,02/11/2007
"Se reporta Desborde de arroyo en zona de Junín, Buenos Aires","Severa desborde de arroyo impactó en la localidad de Junín, Buenos Aires. El incidente bloqueando las principales vías de acceso. La población ha sido alertada para tomar precauciones adicionales.",Desborde de arroyo,-34.614593,-60.929374,03/06/2018
Consecuencias graves tras Helada destructiva en Luján de Cuyo,La región de Luján de Cuyo en Mendoza sufrió los efectos de una intensa helada destructiva. El incidente generando serios daños ambientales en la región. Las fuerzas de seguridad mantienen un perímetro para evitar incidentes adicionales.,Helada destructiva,-33.066272,-68.920526,30/09/2011
Fuego en área protegida deja múltiples daños en Río Cuarto,"Severa fuego en área protegida impactó en la localidad de Río Cuarto, Córdoba. El incidente causando pérdidas millonarias y afectando a cientos de personas. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.",Fuego en área protegida,-33.124699,-64.323522,15/03/2001
